Word,Count
__instance,6
shells,6
can,5
\typeof(Vector3),\,5
BulletEffect),5
\CustomAmmoCategoriesLog.Log.LogWrite("\Ballistic\,5
\shell\n"\);\,5
num,5
emitterIndex),5
\typeof(int),\,5
but,5
weapon.ammoBoxes[index].ammoDef.Description.Id;,5
extAmmo,5
\subeffect\n"\);\,5
в,5
[HarmonyPatch(typeof(MechMeleeSequence))],5
code,5
parent,5
(target,5
(currentBullet,5
\mod:"\\,5
HEAT,5
iheat,5
pHitIndex,5
\(Vector3)typeof(WeaponEffect).GetField("\endPos"\,\,5
TSTPath,5
__instance.hitInfo.numberOfShots;,5
\BattleTech.ShopItemType.MechPart,\,5
target),5
rol,5
be,5
No,5
HeatPerShot,5
\typeof(WeaponHitInfo),\,5
[HarmonyPriority(Priority.Normal)],5
currentBullet,5
не,5
mode,5
\actor.GUID,\,5
BallisticEffect;,5
(weapon.ammoBoxes.Count,5
FROM,5
ParticleSystem,5
FloatieMessage.MessageNature.Debuff));,5
current,5
\BindingFlags.NonPublic).Invoke(__instance,\,5
info,5
\BattleTechResourceType.Prefab,\,5
\BattleTech.ShopItemType.Upgrade,\,5
assembly,5
msg,5
(__instance.subEffect,5
Prefix(BallisticEffect,5
string.Empty;,5
already,5
\typeof(WeaponEffect).GetField("\hitIndex"\,\,5
\20,\,5
++bulletIdx),4
Hit,4
AmmoCategory.NotSet),4
Damage,4
PathingCaps.Description.Id,4
(combatantByGuid,4
DamageType.Combat);,4
bulletHitIndex,4
\[HarmonyPatch("\CompleteOrders"\)]\,4
weaponAmmoCategory,4
\id,\,4
WeaponEffect_PlayProjectile.Prefix(__instance);,4
bullet.GetInstanceID(),4
cell.x,4
\choose\n"\);\,4
have,4
LaserEffect,4
targetGUID,4
startPos,4
catch,4
bullets),4
MineFieldHelper.inflictRegistredMovingDamageMech(__instance.OwningMech);,4
try,4
List<Weapon>();,4
0.0f);,4
(damage,4
List<MapPoint>,4
\2f,\,4
(__instance.subEffect),4
(MapPoint,4
\pathing:"\\,4
by,4
heatDamage,4
\target.CurrentPosition,\,4
\weapon.MaxRange,\,4
\("\\,4
combatantByGuid,4
\Log.LogWrite("\PilotableActorRepresentation.RefreshSurfaceType\,4
Fire,4
\[HarmonyPatch("\Fire"\)]\,4
CustomAmmoCategories.findExtAmmo(weapon.ammoBoxes[index].ammoDef.Description.Id);,4
cell.y,4
cachedCurve.Intercepted,4
instability,4
\unit.CurrentPosition,\,4
1f,4
Transform,4
List<int>,4
this,4
gameState.CurSystem.SystemShop.ActiveInventory.Add(new,4
gameObject,4
\"\,"\\,4
CustomAmmoCategories,4
and,4
\weapon.GetToHitFromPosition(target,\,4
e),4
\typeof(WeaponEffect).GetField("\startPos"\,\,4
Закроем,4
\4f,\,4
method,4
pos,4
}else,4
соединение,4
mine,4
\BattleTech.ShopItemType.HeatSink,\,4
shrapnelHitRecord.shellsHitIndex,4
\__instance.TakeWeaponDamage(fakeHit,\,4
autoPoolObject,4
CustomAmmoCategories.getIndirectFireCapable(weapon))),4
\CustomAmmoCategoriesLog.Log.LogWrite("\Bullet\,4
DamageType.DFASelf);,4
\WeaponHitInfo(-1,\,4
\15,\,4
weapon.StatCollection.GetStatistic(CustomAmmoCategories.GUIDStatisticName).Value<string>();,4
(targetActor,4
movingDamage,4
List<Weapon>,4
\damage:"\\,4
an,4
65536,4
x,4
(parentLauncher.subEffect,4
\bulletHitIndex,\,4
\//__instance.TakeWeaponDamage(fakeHit,\,4
65536),4
This,4
bullets.Count;,4
Mech,4
bullets.Count,4
\grp:"\\,4
CombatGameState,4
\effect\n"\);\,4
FloatieMessage.MessageNature.CriticalHit));,4
currentBulletBorder,3
10f;,3
1f);,3
\WeaponHitInfo,\,3
mapPoint.y],3
\hit:"\\,3
\//CustomAmmoCategoriesLog.Log.LogWrite("\\,3
AOE,3
emitterIndex);,3
ammoShots;,3
bullets[bulletIdx].currentState,3
(MineField,3
AttackImpactQuality[1],3
mineField.damage;,3
\(Vector3)typeof(WeaponEffect).GetField("\startPos"\,\,3
altered,3
BindingFlags.Instance).GetValue(bullet);,3
foreach(var,3
mineField,3
(cell.BurningStrength,3
unit.Weapons),3
(object)rate);,3
\instance:"\\,3
CustomAmmoCategories.GUIDStatisticName),3
\"\):\n"\);\,3
other,3
taking,3
(float)burnCount);,3
\(CombatGameState)typeof(WeaponEffect).GetField("\Combat"\,\,3
строку,3
mineField.weapon;,3
Material,3
\(float)typeof(WeaponEffect).GetField("\t"\,\,3
treesCount,3
aHitIndex,3
(Transform)null);,3
original,3
CustomAmmoCategories.Settings.MineFieldPathingMods[PathingCaps.Description.Id];,3
mapPoints,3
weapon.ProjectilesPerShot;,3
\typeof(WeaponEffect).GetField("\startingTransform"\,\,3
Postfix(MechMeleeSequence,3
!((UnityEngine.Object)combatantByGuid.GameRep,3
DAMAGE,3
delta,3
\t:"\\,3
++burnCount;,3
\become:"\\,3
fieldVFX,3
(ap.x,3
object[],3
mapPoint,3
(mineField.count,3
mineField.damage,3
component.Stop(true);,3
1)),3
на,3
Mathf.RoundToInt((float)burnHeat,3
ClusterShot,3
get;,3
\cell:"\\,3
set;,3
CACWeaponEffect,3
so,3
\ShowActorInfoSequence(actor,\,3
(string.IsNullOrEmpty(ammoId)),3
\weapon.StatCollection.AddStatistic<string>(CustomAmmoCategories.AmmoIdStatName,\,3
\(PathingCapabilitiesDef)typeof(Pathing).GetProperty("\PathingCaps"\,\,3
float>,3
\needed\n"\);\,3
GUID,3
BallisticEffect),3
\ammo\n"\);\,3
__instance.hitInfo.numberOfShots,3
mineField.heat;,3
\//__instance.GenerateAndPublishHeatSequence(-1,\,3
(burnHeat,3
AddSequenceToStackMessage(,3
Ammo,3
BindingFlags.NonPublic).GetValue(bullets[bulletIdx]);,3
_scorchMaterial,3
клиенту,3
weapon.ShotsWhenFired,3
List<WayPoint>,3
\Vector3?(),\,3
CustomAmmoCategories.NotSetCustomAmmoCategoty.Index),3
actor.Combat.MessageCenter.PublishMessage(,3
AMS,3
ammoWeapons),3
PathingCaps,3
rate,3
\weapon.StatCollection.Set<bool>(TemporarilyDisabledStatisticName,\,3
unit,3
(Exception,3
\Dictionary<TerrainMaskFlags,\,3
\//__instance.AddExternalHeat("\MineField"\,\,3
PathingCapabilitiesDef,3
cell.BurningStrength;,3
Weapon),3
\override:"\\,3
\typeof(WeaponEffect).GetField("\rate"\,\,3
(cacwe,3
state,3
MethodType.Normal)],3
cacwe,3
\CustomAmmoCategoriesLog.Log.LogWrite("\BallisticEffect\,3
\(unit.HasLOFToTargetUnit(target,\,3
2060000));,3
following,3
launcher,3
\complete\n"\);\,3
-=,3
по,3
4;,3
\state:"\\,3
\weapon.StatCollection.Set<string>(CustomAmmoCategories.AmmoIdStatName,\,3
\8,\,3
Postfix(MissileLauncherEffect,3
BindingFlags.Instance).GetValue(bullets[bulletIdx]);,3
List<string>,3
modeId,3
targetActor,3
(iheat,3
bullet.bulletIdx,3
\unit,\,3
\CustomAmmoCategoriesLog.Log.LogWrite("\can't\,3
(extWeapon.IsAMS),3
BindingFlags.Static,3
bullets[bulletIdx].bulletIdx,3
true)));,3
mineField.owner;,3
AttackImpactQuality.Solid,3
You,3
\validationLevel,\,3
\CustomCategoriesLog.LogWrite("\\,3
rollMod)),3
\Quaternion?(),\,3
\BindingFlags.Instance).Invoke(__instance,\,3
CACWeaponEffect;,3
Combat,3
args[1],3
args);,3
\__instance.Combat.MapMetaData.mapTerrainDataCells[mapPoint.x,\,3
__instance.hitInfo.hitLocations[hitIndex];,3
Mathf.RoundToInt(heat);,3
you,3
\MINEFIELD"\,\,3
WeaponEffect.WeaponEffectState.Complete),3
Mathf.Round(damage);,3
gameObject.GetInstanceID(),3
и,3
test,3
0)),3
CustomAmmoCategories.NotSetCustomAmmoCategoty;,3
\Was:"\\,3
[HarmonyPatch(typeof(FootstepManager))],3
targetActor.IsEvasive,3
iheat);,3
args,3
\int,\,3
\damage,\,3
modified,3
curvyInfo.UnitySpline,3
\HitIndex:"\\,3
\BindingFlags.NonPublic).GetGetMethod(true).Invoke(__instance.Pathing,\,3
startTransformObject,3
PropertyInfo,3
cell.MineField),3
\typeof(BallisticEffect).GetField("\currentBullet"\,\,3
__instance.GUID);,3
Version,3
\CustomAmmoCategoriesLog.Log.LogWrite("\Weapon\,3
WeaponEffect.WeaponEffectState.PreFiring;,3
behavior,3
curAmmo,3
damaged,3
\idx:"\\,3
\typeof(ICombatant),\,3
extAmmo.HeatDamagePerShot;,3
type,3
(ap.y,3
(roll,3
target);,3
AbstractActor);,3
\choosed\n"\);\,3
distance,3
startingTransform,3
mapPoints),3
currentBullet;,3
\Random.Range(0f,\,3
burnHeat;,3
fakeHit,3
[HarmonyPriority(Priority.First)],3
get,3
(CustomAmmoCategories.Settings.MineFieldPathingMods.ContainsKey(PathingCaps.Description.Id)),3
or,3
[HarmonyPatch(typeof(BulletEffect))],3
all,3
\field:"\\,3
\"\:"\+\,3
mineField.count,3
movingDamage.mineFieldHeat,2
\this.weapon,\,2
HashSet<int>,2
(heatDamage),2
(spreadRecord,2
\(int)ArmorLocation.RightLeg,\,2
cluster,2
args[0],2
__instance.hitInfo.numberOfShots),2
shHitIndex,2
WeaponEffect.OnComplete(),2
__instance.projectileSpeed;,2
\[HarmonyPatch("\OnComplete"\)]\,2
object[3];,2
\CustomAmmoCategoriesLog.Log.LogWrite("\bullets\,2
BTLightAnimator,2
\typeof(WeaponEffect).GetField("\duration"\,\,2
endx,2
*=,2
\MechValidationRules.MechComponentUnderMaintenance(mechComponentRef,\,2
(object)duration);,2
\"\MINEFIELD\,2
0.0f;,2
BindingFlags.NonPublic).GetValue(shrapnelHitRecord.shellsSubEffect);,2
\CustomAmmoCategoriesLog.Log.LogWrite("\:\,2
\CustomAmmoCategories.SetWeaponAmmo(weapon,\,2
instability;,2
(weapon.weaponDef.ShotsWhenFired,2
++hitIndex),2
DirectFireModifier,2
__instance.AmmoCategory.ToString());,2
'Mech,2
хранит,2
FireNextBullet,2
(object)cuCat.Id,2
{0},2
(unit,2
File.Exists(TSTPath),2
this.wasForest,2
weaponIndex,2
\AttackSequenceImpactMessage(hitInfo,\,2
(parentLauncher.subEffect),2
https://docs.microsoft.com/en-us/dotnet/api/system.activator?view=netframework-3.5,2
AMMO:,2
\CustomAmmoCategoriesLog.Log.LogWrite("\Error\,2
List<int>();,2
\"\/"\+__instance.GetInstanceID()\,2
CustomAmmoCategory>();,2
//var,2
movingDamage.weapon,2
\typeof(WeaponEffect).GetField("\currentPos"\,\,2
\typeof(WeaponEffect).GetProperty("\FiringComplete"\);\,2
\seqID:"\\,2
def),2
gameObject.GetComponent<ParticleSystem>();,2
(object)bulletHitIndex);,2
amsShoot.target);,2
attackIndex,2
\gen.Emit(OpCodes.Call,\,2
__instance.GUID,2
достиг,2
ammoCategoryList2),2
gen.Emit(OpCodes.Ldarg_0);,2
\weapon.StatCollection.Set<bool>(CustomAmmoCategories.TemporarilyDisabledStatisticName,\,2
статус-коды,2
ammoShots,2
tempExpectedDamage,2
(mechComponentRef.DamageLevel,2
typeof(bool),2
\wId:"\\,2
(object)0.0f);,2
для,2
bullet.hitInfo.attackWeaponIndex,2
Mode,2
\scale,\,2
Revision,2
burnHeat);,2
MIT,2
know,2
ammoCategory.ToString());,2
component.projectileSpeed,2
https://blogs.msdn.microsoft.com/rmbyers/2008/08/16/invoking-a-virtual-method-non-virtually/,2
AOEHitIndex,2
\meele\n"\);\,2
attribute,2
component.transform.position,2
load,2
requred,2
отрезка,2
(object)emitterIndex);,2
файла,2
(mechComponentRef.ComponentDefType,2
\DynamicMapHelper.getVisitedPoints(__instance.Combat,\,2
все,2
sequenceId,2
__instance.attackSequenceNextDelayMax,2
category:,2
spreadRecord.targetGUID;,2
\"\CustomAmmoCategories.json"\);\,2
\OK"\\,2
are,2
starting,2
++t),2
Prefix(MechMeleeSequence,2
\uid:"\\,2
groupId,2
CustomAmmoCategories.getExtWeaponDef(def.Description.Id).AmmoCategory;,2
la,2
(__instance.AmmoCategory,2
\indexes:"\);\,2
(bullet.currentState,2
\CustomAmmoCategoriesLog.Log.LogWrite("\FireNextBullet\,2
custCat),2
numberOfShots,2
cell;,2
method.Invoke(obj:,2
2;,2
Получаем,2
ComponentDamageLevel.Functional,2
extWeapon.AmmoCategory;,2
AutoPoolObject,2
(object)0);,2
movingDamage.mineFieldInstability,2
extAmmo.ProjectilesPerShot);,2
def,2
effects,2
HeatSetted,2
\"\)\,2
chance,2
\[HarmonyPatch(typeof(BallisticEffect),\,2
WeaponEffect_OnComplete(__instance);,2
Если,2
LICENSE,2
\Log.LogWrite("\no\,2
\x:"\\,2
mechComponentRef.Def,2
custCat.Id,2
gameObject.AddComponent<AutoPoolObject>();,2
CustomAmmoCategories.ClearPlayerWeapons();,2
(AOEHitsInfo,2
add,2
AOECapable,2
\Vector2.zero,\,2
statCount,2
normal,2
waypoints);,2
movingDamage();,2
call,2
actor.GUID);,2
(Transform)null;,2
\AttackDirection.FromArtillery,\,2
Transpiler(IEnumerable<CodeInstruction>,2
HttpStatusCode,2
values,2
\hitLocations,\,2
120000));,2
__instance.DisplayName,2
\combatantByGuid.GameRep.PlayImpactAnim(this.hitInfo,\,2
\[HarmonyPatch("\ImpactPrecacheCount"\)]\,2
(object)startingTransform.position);,2
\bullet\n"\);\,2
(object)false,2
detected,2
\index:"\\,2
mode.Key;,2
componentInChildren,2
__instance.hitInfo.attackWeaponIndex,2
ActorMineFieldVFX,2
(object)0f);,2
WeaponEffect.WeaponEffectState.WaitingForImpact;,2
ShrapnelWeaponEffectID,2
range,2
ActorMovementSequence,2
Meador,2
effectiveHitIndex,2
nonClusterCoeff,2
BallisticEffect_FireNextBulletShell.watchdog.Reset();,2
\shrapnelHitRecord,\,2
(cuCat.BaseCategory,2
//__instance.HandleDeath(actor.GUID);,2
\minefield:"\\,2
(instability,2
spreadRecord,2
it,2
movingDamage.burnHeat,2
\fly:"\\,2
default,2
dm,2
вида,2
(HeatPerShot,2
\dmg:"\\,2
cell.BurningStrength,2
координаты,2
args[2],2
under,2
Strange,2
ClusterSetted,2
WeaponRealizer,2
\[HarmonyPatch("\FiringComplete"\)]\,2
manifest,2
ballistic,2
\__instance.thisTransform.position,\,2
box,2
readonly,2
at,2
HTTP/1.1,2
movingDamage.mineFieldDamage,2
BindingFlags.NonPublic).GetValue(parentLauncher);,2
LOS,2
__instance.hitInfo.attackGroupIndex,2
set,2
fieldDamageRec.lastCell,2
\"\200\,2
SpreadHitRecord,2
(File.Exists(TSTPath),2
цели,2
ext,2
bullet.hitInfo.attackGroupIndex,2
should,2
//Combat.MessageCenter.PublishMessage((MessageCenterMessage)new,2
(PlayerAction)null);,2
cuCat.Id,2
this.Combat.FindCombatantByGUID(this.hitInfo.targetId),2
too,2
);,2
ammoWeapons.Remove(weapon);,2
(CustomAmmoCategories._shellsEffectsQueue.ContainsKey(wGUID),2
((UnityEngine.Object)autoPoolObject,2
\bulletProperty.DeclaringType.GetProperty("\FiringComplete"\);\,2
\typeof(MechValidationRules).GetMethod("\AddErrorMessage"\,\,2
\__instance.weapon,\,2
\contains:"\\,2
CustomAmmoCategories._shellsEffectsQueue[wGUID].Count,2
starty,2
CustomAmmoCategories.find(weapon.AmmoCategory.ToString());,2
cell.BurningWeapon;,2
\CustomAmmoCategories.findWeaponRealCategory(__instance.Description.Id,\,2
float>();,2
\//typeof(WeaponEffect).GetMethod("\OnImpact"\,\,2
\CustomAmmoCategory("\\,2
(hitIndex,2
lastBulletUID.Add(gameObject.GetInstanceID());,2
\typeof(BallisticEffect).GetMethod("\PlayMuzzleFlash"\,\,2
((CustomAmmoCategories.IsJammed(__instance.DisplayedWeapon),2
extAmmoDef.SurfaceImpactDesignMaskId),2
bullet.hitInfo.attackSequenceId,2
one,2
startingTransform.position,2
Prepare(),2
Joel,2
\queue:"\\,2
\//__instance.HandleKnockdown(-1,\,2
nor,2
OnComplete,2
\2,\,2
custCat;,2
((double)duration,2
Apply,2
\MineFieldHelper.registredMovingDamage.Add(__instance.GUID,\,2
categories,2
damageJammCoeff,2
iheat;,2
extAmmo.ShotsWhenFired),2
TryParce,2
duration;,2
bulletProperty,2
weapon;,2
resolve,2
(object)hitIndex);,2
\gameState.PilotRoster.ElementAt(0).AddAbility("\"\);\,2
extended,2
custCat.BaseCategory.ToString(),2
ammoCategoryList1),2
\(Dictionary<MechValidationType,\,2
registred,2
\heat:"\\,2
extAmmo.HeatDamagePerShot),2
//__instance.CheckForInstability();,2
\//WeaponEffect_Fire.Invoke(__instance,\,2
\Transpilers.MethodReplacer(instructions,\,2
id,2
list,2
index1,2
LaserEffect;,2
mineField.instability;,2
(shrapnelHitRecord.shellsSubEffect,2
\cell\n"\);\,2
subscriber);,2
20;,2
bullets[currentBullet];,2
fullCount[box.ammoDef.Description.Id],2
SurfaceImpactDesignMaskId,2
от,2
\CustomAmmoCategoriesLog.Log.LogWrite("\WeaponEffect.PlayProjectile\,2
__instance.weapon.defId,2
gen.Emit(OpCodes.Ret);,2
replacementMethod,2
Waypoints);,2
shrapnelHitRecord.startPosition;,2
CustomAmmoCategories.items[def];,2
method);,2
\//__instance.AddAbsoluteInstability(instability,\,2
\AccessTools.Property(typeof(Weapon),\,2
errorMessages;,2
extWeapon.IsAAMS,2
\typeof(WeaponEffect).GetField("\endPos"\,\,2
out,2
Postfix(FootstepManager,2
gameInstance.DataManager,2
__instance.InitProjectile();,2
__instance.preFireDuration;,2
(SequenceFinished)null);,2
((double)__instance.attackSequenceNextDelayMin,2
_scorchMaterial;,2
DesignMaskDef,2
moveSequence,2
1st,2
\typeof(BulletEffect).GetMethod("\PlayPreFire"\,\,2
sdm,2
\AttackSequenceImpactMessage(__instance.hitInfo,\,2
\(ActorMovementSequence)typeof(MechMeleeSequence).GetField("\moveSequence"\,\,2
ecell.y,2
this.hitInfo.hitLocations[this.hitIndex],2
(object)startPos);,2
endy,2
\Vector2.one,\,2
part,2
Add,2
startx,2
burning,2
себе,2
\seq:"\\,2
\DFA\n"\);\,2
don't,2
__instance.Combat.MessageCenter.PublishMessage((MessageCenterMessage)new,2
оси,2
replacementMethod);,2
HashSet<string>,2
Waypoints,2
\mf:"\\,2
Build,2
amunitionAmmoType.ToString(),2
((UnityEngine.Object)projectileParticles,2
(weapon,2
конец,2
weaponAmmoType.ToString(),2
curDelta;,2
0.0,2
снаряд,2
component);,2
typeof(float),2
\6,\,2
filename,2
weaponEffect,2
\BindingFlags.NonPublic).SetValue(bullet,\,2
Postfix(BallisticEffect,2
hitInfo,2
AccessTools.all);,2
__instance.bulletPrefab.name,2
shrapnelHitRecord);,2
context,2
firePrefab,2
component.Play(true);,2
component.transform.LookAt(endPos);,2
X,2
TerrainMaskFlags,2
\StabilityChangeSource.Attack,\,2
[HarmonyPatch(typeof(WeaponDef))],2
\FloatieMessage.MessageNature.Debuff,\,2
\location:"\\,2
modeId),2
gen,2
\BattleTech.ShopDefItem("\mechdef_atlas_AS7-D-HT"\,\,2
\typeof(WeaponEffect).GetField("\emitterIndex"\,\,2
information,2
Projectile,2
HashSet<int>();,2
that,2
fire,2
build,2
BTCustomRenderer.SetVFXMultiplier(component);,2
component.Clear(true);,2
(this.hitInfo.hitLocations[this.hitIndex],2
ComVisible,2
(object)hitInfo.hitPositions[hitIndex]);,2
(weapon.weaponDef.ProjectilesPerShot,2
1),2
dm.GetILGenerator();,2
BulletEffect;,2
shrapnelHitIndex,2
expectedHeat,2
IEnumerable<CodeInstruction>,2
4.0),2
BindingFlags.NonPublic);,2
__instance.hitInfo.attackSequenceId,2
custCat);,2
ams,2
need,2
COM,2
string>();,2
Prefix(WeaponDef,2
Moving,2
__instance.weapon);,2
\CustomAmmoCategories.getShrapnelCache(hitInfo,\,2
curDelta,2
\needed.\n"\);\,2
\FIRE"\,\,2
shrapnelHitRecord.count,2
targetPropertyGetter,2
\bullet.Fire(__instance.hitInfo,\,2
worldTreePos,2
Mech),2
(object)startingTransform);,2
aHitGroupIndex,2
bulletHitIndex;,2
(__result,2
cuCat.Id;,2
(MineFieldHelper.hasRegistredMovingDamage(__instance.OwningMech)),2
\(List<WayPoint>)typeof(ActorMovementSequence).GetProperty("\Waypoints"\,\,2
ammoShots),2
curCount[box.ammoDef.Description.Id],2
\bulletProperty.GetSetMethod(true).Invoke(__instance,\,2
component.transform.parent,2
\weapon.StatCollection.Set<string>(CustomAmmoCategories.WeaponModeStatisticName,\,2
weapon.parent.GUID,2
gameObject.GetComponent<AutoPoolObject>();,2
effectiveSeparatedDamage,2
\$"\{weapon.Name}\,2
\mf.VFX,\,2
(MineFieldHelper.registredMovingDamage.ContainsKey(__instance.GUID),2
path,2
BallisticEffect_FireNextBulletShell.watchdog.Start();,2
best,2
hitInfo.hitLocations[hitIndex],2
\Dictionary<ICombatant,\,2
\hi:"\\,2
__instance.weapon.DamagePerShotAdjusted(__instance.weapon.parent.occupiedDesignMask)));,2
TreeInstance[0],2
(string.IsNullOrEmpty(ammoId),2
(float)box.CurrentAmmo;,2
weapon.weaponRep.WeaponEffect,2
\CustomAmmoCategoriesLog.Log.LogWrite("\Can't\,2
errorMessages,2
(object)currentBullet);,2
\burn:"\\,2
parameters:,2
isMineField,2
isBurning,2
called,2
mode.Key);,2
(float)box.AmmoCapacity;,2
\CustomAmmoCategoriesLog.Log.LogWrite("\Nor\,2
(CustomAmmoCategories.items.ContainsKey(def)),2
\this.hitIndex,\,2
__instance.weaponRep.vfxTransforms[emitterIndex];,2
componentInChildren.StopAnimation();,2
4f;,2
\(int)ArmorLocation.LeftLeg,\,2
bestAmmo,2
\autoPoolObject.Init(__instance.weapon.parent.Combat.DataManager,\,2
instructions),2
(CustomAmmoCategories.isWRJammed(__instance.DisplayedWeapon),2
\jresp["\error"\]\,2
project,2
damage;,2
Combat.FindCombatantByGUID(targetGUID),2
\System.IO.Path.Combine(TSTPath,\,2
hitInfo);,2
componentInChildren.PlayAnimation();,2
(object)shrapnelHitRecord.startPosition);,2
weapon.ShotsWhenFired;,2
((double)__instance.projectileSpeed,2
(__instance.OwningMech,2
BallisticEffect_FireNextBulletShell.watchdog.Stop();,2
movingDamage);,2
\fire:"\\,2
ClusterCount,2
we,2
\(int)typeof(BallisticEffect).GetField("\currentBullet"\,\,2
\typeof(AbstractActor),\,2
List<Text>>)args[0];,2
\targetPropertyGetter,\,2
++currentBullet;,2
ecell.x,2
\//__instance.AddExternalHeat("\BurningCell"\,\,2
CustomAmmoCategories.findByIndex(ammoCategory);,2
ammoCategory.Index),2
((UnityEngine.Object)component,2
affected,2
\"\)\n"\);\,2
\CustomAmmoCategories.shrapnelFireShells(__instance.hitInfo,\,2
(object)1.0f);,2
\CustomAmmoCategories.setupShellsBullets(__instance.weapon,\,2
(CustomAmmoCategories.IsCooldown(__instance.DisplayedWeapon),2
(object)__instance.weapon.DamagePerShotAdjusted(__instance.weapon.parent.occupiedDesignMask),2
https://stackoverflow.com/a/4358250/1976,2
\string.Empty,\,2
base.OnComplete(),2
CustomAmmoCategories.getWeaponMode(weapon);,2
Combat.MessageCenter.PublishMessage((MessageCenterMessage)new,2
https://docs.microsoft.com/en-us/dotnet/api/system.reflection.emit.dynamicmethod.-ctor?view=netframework-3.5#System_Reflection_Emit_DynamicMethod__ctor_System_String_System_Type_System_Type___System_Type_,2
expectedDamage,2
